Zeit [h]	Variante 1 Raumlufttemperatur [C]	Variante 1 Lueftungswaermestrom [W]	Variante 2 Raumlufttemperatur [C]	Variante 2 Lueftungswaermestrom [W]	Variante 3 Raumlufttemperatur [C]	Variante 3 Lueftungswaermestrom [W]	Variante 4 Raumlufttemperatur [C]	Variante 4 Lueftungswaermestrom [W]
90	5.00	0	4.99	0.12	5.00	0.02	5.00	0.02
91	5.00	0	4.99	0.12	5.00	0.02	5.00	0.02
92	5.00	0	4.99	0.12	5.00	0.02	5.00	0.02
93	5.00	0	4.99	0.12	5.00	0.02	5.00	0.02
94	5.00	0	4.99	0.12	5.00	0.02	5.00	0.02
95	5.00	0	4.99	0.12	5.00	0.02	5.00	0.02
96	5.00	0	4.99	0.12	5.00	0.02	5.00	0.02
97	5.00	0	4.99	0.12	5.00	0.02	5.00	0.02
98	5.00	0	4.99	0.12	5.00	0.02	5.00	0.02
99	5.00	0	4.99	0.12	5.00	0.02	5.00	0.02
100	5.00	0	4.99	0.12	5.00	0.02	5.00	0.02
101	5.00	0	4.99	0.12	5.00	0.02	5.00	0.02
102	5.00	0	4.99	0.12	5.00	0.02	5.00	0.02
103	5.00	0	4.99	0.12	5.00	0.02	5.00	0.02
104	5.00	0	4.99	0.12	5.00	0.02	5.00	0.02
105	5.00	0	4.99	0.12	5.00	0.02	5.00	0.02
106	5.00	0	4.99	0.12	5.00	0.02	5.00	0.02
107	5.00	0	4.99	0.12	5.00	0.02	5.00	0.02
108	5.00	0	4.99	0.12	5.00	0.02	5.00	0.02
109	5.00	0	4.99	0.12	5.00	0.02	5.00	0.02
110	5.00	0	4.99	0.12	5.00	0.02	5.00	0.02
111	5.00	0	4.99	0.11	5.00	0.02	5.00	0.02
112	5.00	0	4.99	0.11	5.00	0.02	5.00	0.02
113	5.00	0	4.99	0.11	5.00	0.02	5.00	0.02
114	5.00	0	4.99	0.11	5.00	0.02	5.00	0.02
115	5.00	0	4.99	0.11	5.00	0.02	5.00	0.02
116	5.00	0	4.99	0.11	5.00	0.02	5.00	0.02
117	5.00	0	4.99	0.11	5.00	0.02	5.00	0.02
118	5.00	0	4.99	0.11	5.00	0.02	5.00	0.02
119	5.00	0	4.99	0.11	5.00	0.02	5.00	0.02
120	5.00	0	4.99	0.11	5.00	0.02	5.00	0.02
121	5.00	0	4.99	0.11	5.00	0.02	5.00	0.02
122	5.00	0	4.99	0.11	5.00	0.02	5.00	0.02
123	5.00	0	4.99	0.11	5.00	0.02	5.00	0.02
124	5.00	0	4.99	0.11	5.00	0.02	5.00	0.02
125	5.00	0	4.99	0.11	5.00	0.02	5.00	0.02
126	5.00	0	4.99	0.11	5.00	0.02	5.00	0.02
127	5.00	0	4.99	0.11	5.00	0.02	5.00	0.02
128	5.00	0	4.99	0.11	5.00	0.02	5.00	0.02
129	5.00	0	4.99	0.11	5.00	0.02	5.00	0.02
130	5.00	0	4.99	0.11	5.00	0.02	5.00	0.02
131	5.00	0	4.99	0.11	5.00	0.02	5.00	0.02
132	5.00	0	4.99	0.11	5.00	0.02	5.00	0.02
133	5.00	0	4.99	0.11	5.00	0.02	5.00	0.02
134	5.00	0	4.99	0.11	5.00	0.02	5.00	0.02
135	5.00	0	4.99	0.11	5.00	0.02	5.00	0.02
136	5.00	0	4.99	0.11	5.00	0.02	5.00	0.02
137	5.00	0	4.99	0.11	5.00	0.02	5.00	0.02
138	5.00	0	4.99	0.11	5.00	0.02	5.00	0.02
139	5.00	0	4.99	0.11	5.00	0.02	5.00	0.02
140	5.00	0	4.99	0.10	5.00	0.02	5.00	0.02
141	5.00	0	4.99	0.10	5.00	0.02	5.00	0.02
142	5.00	0	4.99	0.10	5.00	0.02	5.00	0.02
143	5.00	0	4.99	0.10	5.00	0.02	5.00	0.02
144	5.00	0	4.99	0.10	5.00	0.02	5.00	0.02
145	5.00	0	4.99	0.10	5.00	0.02	5.00	0.02
146	5.00	0	4.99	0.10	5.00	0.02	5.00	0.02
147	5.00	0	4.99	0.10	5.00	0.02	5.00	0.02
148	5.00	0	4.99	0.10	5.00	0.02	5.00	0.02
149	5.00	0	5.00	0.10	5.00	0.02	5.00	0.02
150	5.00	0	5.00	0.10	5.00	0.02	5.00	0.02
151	5.00	0	5.00	0.10	5.00	0.02	5.00	0.02
152	5.00	0	5.00	0.10	5.00	0.02	5.00	0.02
153	5.00	0	5.00	0.10	5.00	0.02	5.00	0.02
154	5.00	0	5.00	0.10	5.00	0.02	5.00	0.02
155	5.00	0	5.00	0.10	5.00	0.02	5.00	0.02
156	5.00	0	5.00	0.10	5.00	0.02	5.00	0.02
157	5.00	0	5.00	0.10	5.00	0.02	5.00	0.02
158	5.00	0	5.00	0.10	5.00	0.02	5.00	0.02
159	5.00	0	5.00	0.10	5.00	0.02	5.00	0.02
160	5.00	0	5.00	0.10	5.00	0.02	5.00	0.02
161	5.00	0	5.00	0.10	5.00	0.02	5.00	0.02
162	5.00	0	5.00	0.10	5.00	0.02	5.00	0.02
163	5.00	0	5.00	0.10	5.00	0.02	5.00	0.02
164	5.00	0	5.00	0.10	5.00	0.01	5.00	0.01
165	5.00	0	5.00	0.10	5.00	0.01	5.00	0.01
166	5.00	0	5.00	0.10	5.00	0.01	5.00	0.01
167	5.00	0	5.00	0.10	5.00	0.01	5.00	0.01
168	5.00	0	5.00	0.10	5.00	0.01	5.00	0.01
169	5.00	0	5.00	0.10	5.00	0.01	5.00	0.01
170	5.00	0	5.00	0.10	5.00	0.01	5.00	0.01
171	5.00	0	5.00	0.09	5.00	0.01	5.00	0.01
172	5.00	0	5.00	0.09	5.00	0.01	5.00	0.01
173	5.00	0	5.00	0.09	5.00	0.01	5.00	0.01
174	5.00	0	5.00	0.09	5.00	0.01	5.00	0.01
175	5.00	0	5.00	0.09	5.00	0.01	5.00	0.01
176	5.00	0	5.00	0.09	5.00	0.01	5.00	0.01
177	5.00	0	5.00	0.09	5.00	0.01	5.00	0.01
178	5.00	0	5.00	0.09	5.00	0.01	5.00	0.01
179	5.00	0	5.00	0.09	5.00	0.01	5.00	0.01
180	5.00	0	5.00	0.09	5.00	0.01	5.00	0.01
181	5.00	0	5.00	0.09	5.00	0.01	5.00	0.01
182	5.00	0	5.00	0.09	5.00	0.01	5.00	0.01
183	5.00	0	5.00	0.09	5.00	0.01	5.00	0.01
184	5.00	0	5.00	0.09	5.00	0.01	5.00	0.01
185	5.00	0	5.00	0.09	5.00	0.01	5.00	0.01
186	5.00	0	5.00	0.09	5.00	0.01	5.00	0.01
187	5.00	0	5.00	0.09	5.00	0.01	5.00	0.01
188	5.00	0	5.00	0.09	5.00	0.01	5.00	0.01
189	5.00	0	5.00	0.09	5.00	0.01	5.00	0.01
190	5.00	0	5.00	0.09	5.00	0.01	5.00	0.01
191	5.00	0	5.00	0.09	5.00	0.01	5.00	0.01
192	5.00	0	5.00	0.09	5.00	0.01	5.00	0.01
193	5.00	0	5.00	0.09	5.00	0.01	5.00	0.01
194	5.00	0	5.00	0.09	5.00	0.01	5.00	0.01
195	5.00	0	5.00	0.09	5.00	0.01	5.00	0.01
196	5.00	0	5.00	0.09	5.00	0.01	5.00	0.01
197	5.00	0	5.00	0.09	5.00	0.01	5.00	0.01
198	5.00	0	5.00	0.09	5.00	0.01	5.00	0.01
199	5.00	0	5.00	0.09	5.00	0.01	5.00	0.01
200	5.00	0	5.00	0.09	5.00	0.01	5.00	0.01
201	5.00	0	5.00	0.09	5.00	0.01	5.00	0.01
202	5.00	0	5.00	0.09	5.00	0.01	5.00	0.01
203	5.00	0	5.00	0.09	5.00	0.01	5.00	0.01
204	5.00	0	5.00	0.09	5.00	0.01	5.00	0.01
205	5.00	0	5.00	0.09	5.00	0.01	5.00	0.01
206	5.00	0	5.00	0.09	5.00	0.01	5.00	0.01
207	5.00	0	5.00	0.08	5.00	0.01	5.00	0.01
208	5.00	0	5.00	0.08	5.00	0.01	5.00	0.01
209	5.00	0	5.00	0.08	5.00	0.01	5.00	0.01
210	5.00	0	5.00	0.08	5.00	0.01	5.00	0.01
211	5.00	0	5.00	0.08	5.00	0.01	5.00	0.01
212	5.00	0	5.00	0.08	5.00	0.01	5.00	0.01
213	5.00	0	5.00	0.08	5.00	0.01	5.00	0.01
214	5.00	0	5.00	0.08	5.00	0.01	5.00	0.01
215	5.00	0	5.00	0.08	5.00	0.01	5.00	0.01
216	5.00	0	5.00	0.08	5.00	0.01	5.00	0.01
217	5.00	0	5.00	0.08	5.00	0.01	5.00	0.01
218	5.00	0	5.00	0.08	5.00	0.01	5.00	0.01
219	5.00	0	5.00	0.08	5.00	0.01	5.00	0.01
220	5.00	0	5.00	0.08	5.00	0.01	5.00	0.01
221	5.00	0	5.00	0.08	5.00	0.01	5.00	0.01
222	5.00	0	5.00	0.08	5.00	0.01	5.00	0.01
223	5.00	0	5.00	0.08	5.00	0.01	5.00	0.01
224	5.00	0	5.00	0.08	5.00	0.01	5.00	0.01
225	5.00	0	5.00	0.08	5.00	0.01	5.00	0.01
226	5.00	0	5.00	0.08	5.00	0.01	5.00	0.01
227	5.00	0	5.00	0.08	5.00	0.01	5.00	0.01
228	5.00	0	5.00	0.08	5.00	0.01	5.00	0.01
229	5.00	0	5.00	0.08	5.00	0.01	5.00	0.01
230	5.00	0	5.00	0.08	5.00	0.01	5.00	0.01
231	5.00	0	5.00	0.08	5.00	0.01	5.00	0.01
232	5.00	0	5.00	0.08	5.00	0.01	5.00	0.01
233	5.00	0	5.00	0.08	5.00	0.01	5.00	0.01
234	5.00	0	5.00	0.08	5.00	0.01	5.00	0.01
235	5.00	0	5.00	0.08	5.00	0.01	5.00	0.01
236	5.00	0	5.00	0.08	5.00	0.01	5.00	0.01
237	5.00	0	5.00	0.08	5.00	0.01	5.00	0.01
238	5.00	0	5.00	0.08	5.00	0.01	5.00	0.01
239	5.00	0	5.00	0.08	5.00	0.01	5.00	0.01
240	5.00	0	5.00	0.08	5.00	0.01	5.00	0.01
241	5.00	0	5.00	0.08	5.00	0.01	5.00	0.01
242	5.00	0	5.00	0.08	5.00	0.01	5.00	0.01
243	5.00	0	5.00	0.08	5.00	0.01	5.00	0.01
244	5.00	0	5.00	0.08	5.00	0.01	5.00	0.01
245	5.00	0	5.00	0.08	5.00	0.01	5.00	0.01
246	5.00	0	5.00	0.07	5.00	0.01	5.00	0.01
247	5.00	0	5.00	0.07	5.00	0.01	5.00	0.01
248	5.00	0	5.00	0.07	5.00	0.01	5.00	0.01
249	5.00	0	5.00	0.07	5.00	0.01	5.00	0.01
250	5.00	0	5.00	0.07	5.00	0.01	5.00	0.01
251	5.00	0	5.00	0.07	5.00	0.01	5.00	0.01
252	5.00	0	5.00	0.07	5.00	0.01	5.00	0.01
253	5.00	0	5.00	0.07	5.00	0.01	5.00	0.01
254	5.00	0	5.00	0.07	5.00	0.01	5.00	0.01
255	5.00	0	5.00	0.07	5.00	0.01	5.00	0.01
256	5.00	0	5.00	0.07	5.00	0.01	5.00	0.01
257	5.00	0	5.00	0.07	5.00	0.01	5.00	0.01
258	5.00	0	5.00	0.07	5.00	0.01	5.00	0.01
259	5.00	0	5.00	0.07	5.00	0.01	5.00	0.01
260	5.00	0	5.00	0.07	5.00	0.01	5.00	0.01
261	5.00	0	5.00	0.07	5.00	0.01	5.00	0.01
262	5.00	0	5.00	0.07	5.00	0.01	5.00	0.01
263	5.00	0	5.00	0.07	5.00	0.01	5.00	0.01
264	5.00	0	5.00	0.07	5.00	0.01	5.00	0.01
265	5.00	0	5.00	0.07	5.00	0.01	5.00	0.01
266	5.00	0	5.00	0.07	5.00	0.01	5.00	0.01
267	5.00	0	5.00	0.07	5.00	0.01	5.00	0.01
268	5.00	0	5.00	0.07	5.00	0.01	5.00	0.01
269	5.00	0	5.00	0.07	5.00	0.01	5.00	0.01
270	5.00	0	5.00	0.07	5.00	0.01	5.00	0.01
271	5.00	0	5.00	0.07	5.00	0.01	5.00	0.01
272	5.00	0	5.00	0.07	5.00	0.01	5.00	0.01
273	5.00	0	5.00	0.07	5.00	0.01	5.00	0.01
274	5.00	0	5.00	0.07	5.00	0.01	5.00	0.01
275	5.00	0	5.00	0.07	5.00	0.01	5.00	0.01
276	5.00	0	5.00	0.07	5.00	0.01	5.00	0.01
277	5.00	0	5.00	0.07	5.00	0.01	5.00	0.01
278	5.00	0	5.00	0.07	5.00	0.01	5.00	0.01
279	5.00	0	5.00	0.07	5.00	0.01	5.00	0.01
280	5.00	0	5.00	0.07	5.00	0.01	5.00	0.01
281	5.00	0	5.00	0.07	5.00	0.01	5.00	0.01
282	5.00	0	5.00	0.07	5.00	0.01	5.00	0.01
283	5.00	0	5.00	0.07	5.00	0.01	5.00	0.01
284	5.00	0	5.00	0.07	5.00	0.01	5.00	0.01
285	5.00	0	5.00	0.07	5.00	0.01	5.00	0.01
286	5.00	0	5.00	0.07	5.00	0.01	5.00	0.01
287	5.00	0	5.00	0.07	5.00	0.01	5.00	0.01
288	5.00	0	5.00	0.07	5.00	0.01	5.00	0.01
289	5.00	0	5.00	0.07	5.00	0.01	5.00	0.01
290	5.00	0	5.00	0.07	5.00	0.01	5.00	0.01
291	5.00	0	5.00	0.07	5.00	0.01	5.00	0.01
292	5.00	0	5.00	0.06	5.00	0.01	5.00	0.01
293	5.00	0	5.00	0.06	5.00	0.01	5.00	0.01
294	5.00	0	5.00	0.06	5.00	0.01	5.00	0.01
295	5.00	0	5.00	0.06	5.00	0.01	5.00	0.01
296	5.00	0	5.00	0.06	5.00	0.01	5.00	0.01
297	5.00	0	5.00	0.06	5.00	0.01	5.00	0.01
298	5.00	0	5.00	0.06	5.00	0.01	5.00	0.01
299	5.00	0	5.00	0.06	5.00	0.01	5.00	0.01
300	5.00	0	5.00	0.06	5.00	0.01	5.00	0.01
301	5.00	0	5.00	0.06	5.00	0.01	5.00	0.01
302	5.00	0	5.00	0.06	5.00	0.01	5.00	0.01
303	5.00	0	5.00	0.06	5.00	0.01	5.00	0.01
304	5.00	0	5.00	0.06	5.00	0.01	5.00	0.01
305	5.00	0	5.00	0.06	5.00	0.01	5.00	0.01
306	5.00	0	5.00	0.06	5.00	0.01	5.00	0.01
307	5.00	0	5.00	0.06	5.00	0.01	5.00	0.01
308	5.00	0	5.00	0.06	5.00	0.01	5.00	0.01
309	5.00	0	5.00	0.06	5.00	0.01	5.00	0.01
310	5.00	0	5.00	0.06	5.00	0.01	5.00	0.01
311	5.00	0	5.00	0.06	5.00	0.01	5.00	0.01
312	5.00	0	5.00	0.06	5.00	0.01	5.00	0.01
313	5.00	0	5.00	0.06	5.00	0.01	5.00	0.01
314	5.00	0	5.00	0.06	5.00	0.01	5.00	0.01
315	5.00	0	5.00	0.06	5.00	0.01	5.00	0.01
316	5.00	0	5.00	0.06	5.00	0.01	5.00	0.01
317	5.00	0	5.00	0.06	5.00	0.01	5.00	0.01
318	5.00	0	5.00	0.06	5.00	0.01	5.00	0.01
319	5.00	0	5.00	0.06	5.00	0.01	5.00	0.01
320	5.00	0	5.00	0.06	5.00	0.01	5.00	0.01
321	5.00	0	5.00	0.06	5.00	0.01	5.00	0.01
322	5.00	0	5.00	0.06	5.00	0.01	5.00	0.01
323	5.00	0	5.00	0.06	5.00	0.01	5.00	0.01
324	5.00	0	5.00	0.06	5.00	0.01	5.00	0.01
325	5.00	0	5.00	0.06	5.00	0.01	5.00	0.01
326	5.00	0	5.00	0.06	5.00	0.01	5.00	0.01
327	5.00	0	5.00	0.06	5.00	0.01	5.00	0.01
328	5.00	0	5.00	0.06	5.00	0.01	5.00	0.01
329	5.00	0	5.00	0.06	5.00	0.01	5.00	0.01
330	5.00	0	5.00	0.06	5.00	0.01	5.00	0.01
331	5.00	0	5.00	0.06	5.00	0.01	5.00	0.01
332	5.00	0	5.00	0.06	5.00	0.01	5.00	0.01
333	5.00	0	5.00	0.06	5.00	0.01	5.00	0.01
334	5.00	0	5.00	0.06	5.00	0.01	5.00	0.01
335	5.00	0	5.00	0.06	5.00	0.01	5.00	0.01
336	5.00	0	5.00	0.06	5.00	0.01	5.00	0.01
337	5.00	0	5.00	0.06	5.00	0.01	5.00	0.01
338	5.00	0	5.00	0.06	5.00	0.01	5.00	0.01
339	5.00	0	5.00	0.06	5.00	0.01	5.00	0.01
340	5.00	0	5.00	0.06	5.00	0.01	5.00	0.01
341	5.00	0	5.00	0.06	5.00	0.01	5.00	0.01
342	5.00	0	5.00	0.06	5.00	0.01	5.00	0.01
343	5.00	0	5.00	0.06	5.00	0.01	5.00	0.01
344	5.00	0	5.00	0.06	5.00	0.01	5.00	0.01
345	5.00	0	5.00	0.05	5.00	0.01	5.00	0.01
346	5.00	0	5.00	0.05	5.00	0.01	5.00	0.01
347	5.00	0	5.00	0.05	5.00	0.01	5.00	0.01
348	5.00	0	5.00	0.05	5.00	0.01	5.00	0.01
349	5.00	0	5.00	0.05	5.00	0.01	5.00	0.01
350	5.00	0	5.00	0.05	5.00	0.01	5.00	0.01
351	5.00	0	5.00	0.05	5.00	0.01	5.00	0.01
352	5.00	0	5.00	0.05	5.00	0.01	5.00	0.01
353	5.00	0	5.00	0.05	5.00	0.01	5.00	0.01
354	5.00	0	5.00	0.05	5.00	0.01	5.00	0.01
355	5.00	0	5.00	0.05	5.00	0.01	5.00	0.01
356	5.00	0	5.00	0.05	5.00	0.01	5.00	0.01
357	5.00	0	5.00	0.05	5.00	0.01	5.00	0.01
358	5.00	0	5.00	0.05	5.00	0.01	5.00	0.01
359	5.00	0	5.00	0.05	5.00	0.01	5.00	0.01
360	5.00	0	5.00	0.05	5.00	0.01	5.00	0.01
361	5.00	0	5.00	0.05	5.00	0.01	5.00	0.01
362	5.00	0	5.00	0.05	5.00	0.01	5.00	0.01
363	5.00	0	5.00	0.05	5.00	0.01	5.00	0.01
364	5.00	0	5.00	0.05	5.00	0.01	5.00	0.01
365	5.00	0	5.00	0.05	5.00	0.01	5.00	0.01
366	5.00	0	5.00	0.05	5.00	0.01	5.00	0.01
367	5.00	0	5.00	0.05	5.00	0.01	5.00	0.01
368	5.00	0	5.00	0.05	5.00	0.01	5.00	0.01
369	5.00	0	5.00	0.05	5.00	0.01	5.00	0.01
370	5.00	0	5.00	0.05	5.00	0.01	5.00	0.01
371	5.00	0	5.00	0.05	5.00	0.01	5.00	0.01
372	5.00	0	5.00	0.05	5.00	0.01	5.00	0.01
373	5.00	0	5.00	0.05	5.00	0.01	5.00	0.01
374	5.00	0	5.00	0.05	5.00	0.01	5.00	0.01
375	5.00	0	5.00	0.05	5.00	0.01	5.00	0.01
376	5.00	0	5.00	0.05	5.00	0.01	5.00	0.01
377	5.00	0	5.00	0.05	5.00	0.01	5.00	0.01
378	5.00	0	5.00	0.05	5.00	0.01	5.00	0.01
379	5.00	0	5.00	0.05	5.00	0.01	5.00	0.01
380	5.00	0	5.00	0.05	5.00	0.01	5.00	0.01
381	5.00	0	5.00	0.05	5.00	0.01	5.00	0.01
382	5.00	0	5.00	0.05	5.00	0.01	5.00	0.01
383	5.00	0	5.00	0.05	5.00	0.01	5.00	0.01
384	5.00	0	5.00	0.05	5.00	0.01	5.00	0.01
385	5.00	0	5.00	0.05	5.00	0.01	5.00	0.01
386	5.00	0	5.00	0.05	5.00	0.01	5.00	0.01
387	5.00	0	5.00	0.05	5.00	0.01	5.00	0.01
388	5.00	0	5.00	0.05	5.00	0.01	5.00	0.01
389	5.00	0	5.00	0.05	5.00	0.01	5.00	0.01
390	5.00	0	5.00	0.05	5.00	0.01	5.00	0.01
391	5.00	0	5.00	0.05	5.00	0.01	5.00	0.01
392	5.00	0	5.00	0.05	5.00	0.01	5.00	0.01
393	5.00	0	5.00	0.05	5.00	0.01	5.00	0.01
394	5.00	0	5.00	0.05	5.00	0.01	5.00	0.01
395	5.00	0	5.00	0.05	5.00	0.01	5.00	0.01
396	5.00	0	5.00	0.05	5.00	0.01	5.00	0.01
397	5.00	0	5.00	0.05	5.00	0.01	5.00	0.01
398	5.00	0	5.00	0.05	5.00	0.01	5.00	0.01
399	5.00	0	5.00	0.05	5.00	0.01	5.00	0.01
400	5.00	0	5.00	0.05	5.00	0.01	5.00	0.01
401	5.00	0	5.00	0.05	5.00	0.01	5.00	0.01
402	5.00	0	5.00	0.05	5.00	0.01	5.00	0.01
403	5.00	0	5.00	0.05	5.00	0.01	5.00	0.01
404	5.00	0	5.00	0.05	5.00	0.01	5.00	0.01
405	5.00	0	5.00	0.05	5.00	0.01	5.00	0.01
406	5.00	0	5.00	0.05	5.00	0.01	5.00	0.01
407	5.00	0	5.00	0.05	5.00	0.01	5.00	0.01
408	5.00	0	5.00	0.05	5.00	0.01	5.00	0.01
409	5.00	0	5.00	0.04	5.00	0.01	5.00	0.01
410	5.00	0	5.00	0.04	5.00	0.01	5.00	0.01
411	5.00	0	5.00	0.04	5.00	0.01	5.00	0.01
412	5.00	0	5.00	0.04	5.00	0.01	5.00	0.01
413	5.00	0	5.00	0.04	5.00	0.01	5.00	0.01
414	5.00	0	5.00	0.04	5.00	0.01	5.00	0.01
415	5.00	0	5.00	0.04	5.00	0.01	5.00	0.01
416	5.00	0	5.00	0.04	5.00	0.01	5.00	0.01
417	5.00	0	5.00	0.04	5.00	0.01	5.00	0.01
418	5.00	0	5.00	0.04	5.00	0.01	5.00	0.01
419	5.00	0	5.00	0.04	5.00	0.01	5.00	0.01
420	5.00	0	5.00	0.04	5.00	0.01	5.00	0.01
421	5.00	0	5.00	0.04	5.00	0.01	5.00	0.01
422	5.00	0	5.00	0.04	5.00	0.01	5.00	0.01
423	5.00	0	5.00	0.04	5.00	0.01	5.00	0.01
424	5.00	0	5.00	0.04	5.00	0.01	5.00	0.01
425	5.00	0	5.00	0.04	5.00	0.01	5.00	0.01
